Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,23.625000,23.625000,23.125000,23.490000,15.133765,1889400
2000-10-03,23.900000,23.900000,23.100000,23.250000,14.979137,2678800
2000-10-04,23.875000,23.875000,23.389999,23.465000,15.117659,3225600
2000-10-05,24.000000,25.250000,24.000000,24.805000,15.980967,7062800
2000-10-06,25.075001,25.625000,24.809999,24.995001,16.103380,5045200
2000-10-09,25.000000,25.125000,24.700001,25.055000,16.142035,2752000
2000-10-10,24.930000,25.469999,24.924999,25.120001,16.183912,2692400
2000-10-11,25.375000,25.475000,25.075001,25.080000,16.158146,2483400
2000-10-12,25.025000,25.059999,23.875000,24.400000,15.720039,7673600
2000-10-13,24.400000,25.215000,24.375000,25.209999,16.241907,6730600
2000-10-16,24.900000,26.014999,24.900000,25.825001,16.638121,4659000
2000-10-17,25.525000,25.725000,25.375000,25.450001,16.396517,3330400
2000-10-18,25.500000,25.750000,25.125000,25.584999,16.483500,3454000
2000-10-19,25.100000,25.450001,24.690001,25.129999,16.190359,4183600
2000-10-20,25.150000,25.549999,25.075001,25.309999,16.306311,3057200
2000-10-23,25.299999,25.309999,24.670000,24.700001,15.913325,4272000
2000-10-24,25.100000,26.975000,25.100000,26.525000,17.143934,6049800
2000-10-25,27.375000,27.940001,27.125000,27.775000,17.951851,4629000
2000-10-26,27.754999,28.440001,27.375000,27.754999,17.938921,5267600
2000-10-27,27.745001,28.809999,27.575001,28.809999,18.620798,4526600
2000-10-30,28.900000,29.500000,28.525000,29.495001,19.063543,3893400
2000-10-31,29.000000,29.475000,28.150000,29.379999,18.989208,5617600
2000-11-01,29.450001,29.645000,27.875000,28.450001,18.388121,6131600
2000-11-02,28.375000,29.424999,28.094999,29.174999,18.856716,3126000
2000-11-03,29.180000,29.674999,28.975000,29.250000,18.905193,2168000
2000-11-06,29.000000,29.049999,28.635000,28.830000,18.633732,2366400
2000-11-07,29.225000,29.500000,28.809999,29.424999,19.018299,2945600
2000-11-08,29.750000,29.750000,29.139999,29.344999,18.966591,2264600
2000-11-09,29.400000,30.299999,29.025000,29.424999,19.018299,4310600
2000-11-10,29.430000,29.980000,29.275000,29.754999,19.231585,4465200
2000-11-13,29.950001,30.049999,29.225000,29.580000,19.118483,4565400
2000-11-14,29.500000,29.625000,28.674999,29.420000,19.015066,3792000
2000-11-15,29.750000,29.924999,29.475000,29.809999,19.267138,2998000
2000-11-16,29.500000,29.625000,29.125000,29.430000,19.021530,2586400
2000-11-17,29.525000,29.850000,29.355000,29.525000,19.082930,2376400
2000-11-20,30.000000,30.400000,29.525000,29.940001,19.351168,2931000
2000-11-21,29.900000,29.995001,29.375000,29.700001,19.196043,2751200
2000-11-22,29.754999,29.985001,29.330000,29.600000,19.131405,2836800
2000-11-24,29.100000,29.250000,28.754999,28.900000,18.678970,1365600
2000-11-27,28.799999,28.995001,28.245001,28.480000,18.407518,2628200
2000-11-28,28.950001,29.525000,28.850000,29.215000,18.882576,3693600
2000-11-29,29.125000,30.065001,29.094999,29.790001,19.254202,2854800
2000-11-30,29.875000,30.280001,29.280001,29.375000,18.985985,3075800
2000-12-01,29.875000,29.990000,29.450001,29.844999,19.289762,2768200
2000-12-04,29.525000,30.200001,29.525000,29.959999,19.364080,2824800
2000-12-05,29.850000,29.855000,28.650000,29.040001,18.769466,4257200
2000-12-06,29.125000,29.285000,27.719999,28.240000,18.252386,7009800
2000-12-07,27.775000,29.650000,27.775000,29.625000,19.147566,5417000
2000-12-08,29.500000,29.825001,28.875000,29.174999,18.856716,3128400
2000-12-11,28.900000,28.900000,28.025000,28.275000,18.275009,3573000
2000-12-12,29.250000,29.950001,29.174999,29.490000,19.060303,4037600
2000-12-13,29.400000,29.405001,28.900000,29.075001,18.792076,2997800
2000-12-14,28.625000,29.000000,28.625000,28.879999,18.666048,3088000
2000-12-15,27.850000,28.775000,27.750000,28.580000,18.472145,5375400
2000-12-18,28.750000,29.700001,28.750000,29.615000,19.141106,2215200
2000-12-19,29.625000,30.075001,29.150000,29.510000,19.073225,2785800
2000-12-20,29.375000,30.000000,29.375000,29.655001,19.166954,2295600
2000-12-21,29.655001,30.415001,29.629999,30.415001,19.658173,4101800
