Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,30.250000,30.406250,29.125000,29.562500,18.819891,58562400
2000-10-03,29.781250,29.906250,28.250000,28.281250,18.004221,85374000
2000-10-04,28.187500,28.281250,27.250000,27.718750,17.646139,136453400
2000-10-05,27.750000,28.625000,27.625000,27.687500,17.626240,81099400
2000-10-06,27.906250,28.375000,27.375000,27.781250,17.685925,61794000
2000-10-09,27.812500,27.875000,26.500000,27.093750,17.248243,58323600
2000-10-10,26.968750,27.781250,26.906250,27.281250,17.367615,62066200
2000-10-11,27.000000,28.468750,27.000000,27.875000,17.745607,101205800
2000-10-12,28.156250,28.437500,26.906250,27.187500,17.307930,90219600
2000-10-13,26.937500,27.437500,26.062500,26.875000,17.108986,104521200
2000-10-16,26.750000,26.906250,24.781250,25.187500,16.034704,119759000
2000-10-17,25.937500,26.218750,25.125000,25.218750,16.054598,81276600
2000-10-18,24.812500,26.625000,24.218750,25.875000,16.472374,110536400
2000-10-19,29.218750,31.093750,29.000000,30.937500,19.695227,256993200
2000-10-20,30.656250,33.062500,30.562500,32.593750,20.749619,160378600
2000-10-23,32.312500,33.125000,30.343750,31.062500,19.774811,185170400
2000-10-24,31.312500,31.468750,30.093750,30.750000,19.575861,94427400
2000-10-25,30.968750,31.718750,30.218750,30.625000,19.496288,167603800
2000-10-26,30.500000,32.531250,30.406250,32.218750,20.510893,114826600
2000-10-27,32.343750,34.593750,32.312500,33.843750,21.545391,124292400
2000-10-30,33.750000,35.062500,33.687500,34.531250,21.983067,110057600
2000-10-31,34.500000,34.750000,34.000000,34.437500,21.923378,104474000
2000-11-01,34.250000,35.031250,34.218750,34.812500,22.162117,81309400
2000-11-02,35.187500,35.421875,34.812500,35.156250,22.380941,77985200
2000-11-03,34.625000,34.812500,34.031250,34.125000,21.724434,68711000
2000-11-06,34.343750,35.062500,34.125000,34.750000,22.122316,74851400
2000-11-07,34.875000,35.937500,34.750000,35.250000,22.440626,104331200
2000-11-08,35.562500,36.187500,34.000000,34.718750,22.102425,206149400
2000-11-09,34.250000,35.656250,34.218750,35.437500,22.559990,91058600
2000-11-10,34.968750,35.156250,33.406250,33.687500,21.445921,93744400
2000-11-13,33.343750,34.062500,32.203125,33.218750,21.147507,83364800
2000-11-14,34.000000,34.906250,33.656250,34.406250,21.903481,84218600
2000-11-15,34.531250,35.437500,34.343750,35.031250,22.301367,60422200
2000-11-16,34.718750,35.750000,34.468750,34.468750,21.943279,92128600
2000-11-17,34.718750,35.000000,33.898438,34.531250,21.983067,106525600
2000-11-20,34.062500,34.250000,32.781250,33.593750,21.386238,80157200
2000-11-21,33.687500,34.625000,33.687500,33.875000,21.565281,59487600
2000-11-22,33.031250,34.750000,33.000000,34.125000,21.724434,76343200
2000-11-24,34.500000,35.218750,34.250000,34.968750,22.261581,34439200
2000-11-27,35.718750,36.125000,35.312500,35.343750,22.500307,85307600
2000-11-28,34.687500,34.875000,33.406250,33.500000,21.326546,127446200
2000-11-29,33.406250,33.562500,31.625000,32.531250,20.709833,98280400
2000-11-30,31.000000,31.031250,28.500000,28.687500,18.262852,197200800
2000-12-01,29.031250,30.312500,28.031250,28.312500,18.024115,109809800
2000-12-04,28.625000,29.500000,27.593750,28.218750,17.964437,80407200
2000-12-05,29.593750,30.250000,29.125000,29.937500,19.058613,101734400
