Date,Open,High,Low,Close,Adj Close,Volume
2000-10-02,44.687500,45.843750,44.687500,45.718750,25.059761,12705000
2000-10-03,45.468750,45.812500,45.250000,45.406250,24.888466,10045000
2000-10-04,45.093750,45.156250,44.375000,44.625000,24.460243,13748600
2000-10-05,44.312500,44.875000,43.968750,44.593750,24.443108,11162600
2000-10-06,44.968750,45.656250,44.531250,44.718750,24.511621,10405600
2000-10-09,44.718750,45.781250,44.625000,45.562500,24.974102,10663800
2000-10-10,45.843750,46.906250,45.750000,46.656250,25.573627,14807800
2000-10-11,46.968750,47.718750,46.687500,46.875000,25.693525,20725800
2000-10-12,46.500000,47.437500,46.468750,47.062500,25.796299,19561000
2000-10-13,46.593750,46.718750,44.781250,45.250000,24.802813,17011200
2000-10-16,45.250000,45.250000,43.718750,43.906250,24.066273,13969400
2000-10-17,44.437500,44.875000,43.656250,43.906250,24.066273,12933000
2000-10-18,44.500000,44.843750,43.218750,43.281250,23.723679,12507200
2000-10-19,43.187500,44.093750,42.906250,43.250000,23.706556,12546200
2000-10-20,43.156250,44.218750,43.156250,44.218750,24.237555,10662800
2000-10-23,44.187500,44.593750,43.562500,44.531250,24.408842,11157400
2000-10-24,45.000000,45.125000,43.250000,43.375000,23.775076,12749800
2000-10-25,44.250000,44.250000,43.500000,43.593750,23.894979,10830400
2000-10-26,44.093750,44.468750,43.781250,43.875000,24.049152,10378000
2000-10-27,43.250000,43.843750,43.125000,43.781250,23.997753,7943000
2000-10-30,43.781250,44.906250,43.781250,44.718750,24.511621,10710000
2000-10-31,44.718750,44.937500,43.781250,44.593750,24.443108,10070000
2000-11-01,44.968750,46.031250,44.968750,46.031250,25.231050,14385000
2000-11-02,45.468750,45.500000,44.062500,44.093750,24.169052,14968600
2000-11-03,44.000000,44.468750,43.687500,43.750000,23.980618,10272200
2000-11-06,43.875000,44.593750,43.406250,44.343750,24.306074,9351000
2000-11-07,44.468750,45.187500,44.312500,44.500000,24.391722,8632600
2000-11-08,44.500000,45.531250,44.500000,45.343750,24.854206,10074000
2000-11-09,45.437500,45.625000,44.093750,44.937500,24.751617,10646400
2000-11-10,44.937500,45.343750,44.781250,44.781250,24.665550,7998000
2000-11-13,44.812500,45.593750,44.156250,44.968750,24.768829,9167400
2000-11-14,44.875000,45.343750,44.625000,44.937500,24.751617,8370600
2000-11-15,45.375000,45.687500,44.937500,45.187500,24.889324,8934800
2000-11-16,45.156250,45.843750,44.968750,45.343750,24.975380,8971400
2000-11-17,45.343750,45.500000,44.906250,45.156250,24.872107,9948000
2000-11-20,45.281250,45.968750,45.281250,45.687500,25.164721,7809200
2000-11-21,45.593750,47.187500,45.593750,46.562500,25.646669,12768000
2000-11-22,46.250000,47.187500,46.062500,47.125000,25.956491,11543400
2000-11-24,47.031250,47.343750,46.968750,47.218750,26.008131,5131800
2000-11-27,46.750000,47.000000,46.375000,46.562500,25.646669,9067200
2000-11-28,46.281250,47.156250,46.156250,46.531250,25.629448,10078200
2000-11-29,46.093750,46.093750,44.343750,44.468750,24.493429,16306000
2000-11-30,44.750000,45.000000,43.281250,44.000000,24.235249,14645600
2000-12-01,43.968750,44.718750,43.968750,44.406250,24.459002,12051800
2000-12-04,44.406250,45.500000,44.375000,45.343750,24.975380,8971400
2000-12-05,45.125000,45.687500,43.875000,44.187500,24.338514,11625600
2000-12-06,43.562500,44.000000,42.843750,43.125000,23.753300,17449000
2000-12-07,43.250000,44.625000,43.250000,44.000000,24.235249,12825200
2000-12-08,44.031250,44.656250,43.406250,44.250000,24.372936,10086000
2000-12-11,44.281250,44.343750,42.812500,42.875000,23.615593,14654000
2000-12-12,43.593750,43.687500,42.968750,43.281250,23.839338,11527800
2000-12-13,43.375000,44.156250,43.375000,43.843750,24.149181,11973200
2000-12-14,43.375000,43.593750,42.562500,42.750000,23.546741,14218400
2000-12-15,42.250000,43.250000,42.062500,42.062500,23.168066,26030000
2000-12-18,42.125000,43.437500,42.031250,43.187500,23.787714,12784200
2000-12-19,43.062500,44.250000,43.062500,43.593750,24.011478,12678600
2000-12-20,43.625000,43.750000,42.562500,42.593750,23.460684,11915200
2000-12-21,42.500000,43.375000,42.375000,42.375000,23.340189,12695400
2000-12-22,42.437500,43.468750,42.312500,43.406250,23.908201,8543200
2000-12-26,43.406250,44.406250,43.406250,44.281250,24.390162,5580600
2000-12-27,44.406250,44.656250,43.593750,43.875000,24.166393,10437800
2000-12-28,43.812500,43.875000,43.312500,43.437500,23.925423,10854600
2000-12-29,43.500000,44.000000,43.000000,43.468750,23.942631,9564000
2001-01-02,43.343750,44.687500,43.250000,44.562500,24.545055,13101200
2001-01-03,44.562500,44.875000,42.625000,42.625000,23.477890,20818000
2001-01-04,42.812500,42.875000,40.968750,41.437500,22.823826,24566800
2001-01-05,41.437500,42.531250,41.406250,41.625000,22.927094,18777800
2001-01-08,41.750000,42.093750,41.375000,41.437500,22.823826,11058800
2001-01-09,41.312500,41.312500,40.718750,41.000000,22.582834,11523600
2001-01-10,41.125000,41.218750,40.218750,40.500000,22.307440,20620600
2001-01-11,40.812500,41.437500,40.687500,40.875000,22.513996,10989200
2001-01-12,40.875000,41.500000,40.468750,41.406250,22.806595,11894600
2001-01-16,40.937500,41.218750,40.281250,40.906250,22.531206,15606600
2001-01-17,40.531250,40.718750,39.812500,40.125000,22.100883,14723400
2001-01-18,40.281250,40.312500,39.500000,39.562500,21.791069,17205000
2001-01-19,39.437500,39.937500,39.343750,39.718750,21.877125,20292200
2001-01-22,39.875000,40.312500,39.625000,40.125000,22.100883,13861600
2001-01-23,40.250000,40.968750,40.062500,40.906250,22.531206,11131600
2001-01-24,41.125000,41.250000,40.500000,40.812500,22.479561,12859800
2001-01-25,41.156250,41.406250,41.000000,41.250000,22.720547,13595000
2001-01-26,41.250000,41.281250,40.343750,40.500000,22.307440,11860000
2001-01-29,40.025002,40.599998,39.845001,40.099998,22.087120,10545800
2001-01-30,40.750000,41.224998,40.099998,40.990002,22.577326,9700400
2001-01-31,41.375000,42.189999,41.375000,42.075001,23.174952,17017600
2001-02-01,42.075001,42.075001,41.400002,41.744999,22.993189,9116600
2001-02-02,41.900002,42.250000,41.450001,41.494999,22.855488,10397600
2001-02-05,41.625000,42.549999,41.625000,42.400002,23.353966,10757400
2001-02-06,42.474998,42.480000,41.799999,42.169998,23.227268,10953000
2001-02-07,42.250000,42.575001,41.904999,42.180000,23.354624,11624800
2001-02-08,42.375000,42.700001,42.000000,42.250000,23.393379,9898800
2001-02-09,42.375000,43.325001,42.375000,42.930000,23.769894,10768000
2001-02-12,42.930000,43.125000,42.685001,42.880001,23.742210,8320200
2001-02-13,42.474998,42.674999,42.200001,42.395000,23.473656,9300800
2001-02-14,41.974998,42.474998,41.750000,41.965000,23.235582,13480200
2001-02-15,41.599998,41.700001,40.775002,41.250000,22.839703,13022400
2001-02-16,41.599998,42.369999,41.500000,42.009998,23.260489,13480000
2001-02-20,41.799999,42.195000,41.325001,41.900002,23.199589,7721600
2001-02-21,42.400002,42.599998,41.750000,41.759998,23.122076,8660400
2001-02-22,42.000000,42.250000,41.750000,42.105000,23.313099,9965000
2001-02-23,42.000000,42.105000,41.380001,41.750000,23.116535,10157800
2001-02-26,41.424999,42.000000,41.325001,41.900002,23.199589,9690400
2001-02-27,41.950001,42.049999,40.950001,41.150002,22.784311,13944600
2001-02-28,41.250000,41.480000,40.450001,40.525002,22.438267,11591200
2001-03-01,40.400002,41.250000,40.384998,40.700001,22.535164,12507400
2001-03-02,41.349998,41.935001,41.090000,41.605000,23.036253,10093800
2001-03-05,41.474998,42.200001,41.435001,41.924999,23.213434,10030200
2001-03-06,42.049999,42.150002,41.599998,41.799999,23.144220,9572400
2001-03-07,42.049999,42.174999,41.705002,42.105000,23.313099,10331400
2001-03-08,42.105000,42.924999,42.005001,42.924999,23.767126,11167600
2001-03-09,42.799999,43.244999,42.630001,42.994999,23.805885,10905800
2001-03-12,42.994999,42.994999,41.875000,41.880001,23.188515,11102000
2001-03-13,41.599998,41.764999,41.240002,41.650002,23.061167,11603600
2001-03-14,41.150002,41.500000,40.974998,41.320000,22.878454,11598800
2001-03-15,41.875000,41.875000,40.724998,41.474998,22.964266,13140200
2001-03-16,40.924999,41.450001,40.840000,40.849998,22.618206,21222200
2001-03-19,40.700001,41.419998,40.625000,40.630001,22.496407,11753000
2001-03-20,40.650002,41.334999,40.305000,40.330002,22.330296,11128800
2001-03-21,40.215000,40.619999,39.790001,39.904999,22.094976,11964800
2001-03-22,39.875000,40.025002,37.599998,38.849998,21.510836,18738000
2001-03-23,38.375000,38.974998,38.255001,38.450001,21.289356,17656800
2001-03-26,38.994999,39.369999,38.895000,39.125000,21.663101,14797200
2001-03-27,39.650002,40.549999,39.535000,40.320000,22.324755,14715800
2001-03-28,39.849998,40.000000,38.900002,39.325001,21.773838,11226800
2001-03-29,38.950001,39.349998,38.700001,39.145000,21.674173,9389000
2001-03-30,39.525002,40.500000,39.500000,40.500000,22.424425,13186600
2001-04-02,40.500000,40.650002,39.529999,39.799999,22.036840,13300400
2001-04-03,39.650002,39.724998,38.500000,38.950001,21.566204,14200800
2001-04-04,38.950001,39.860001,38.915001,39.349998,21.787683,11742600
2001-04-05,39.950001,40.494999,39.650002,40.465000,22.405041,11078400
2001-04-06,40.500000,41.049999,39.549999,41.049999,22.728949,12139000
2001-04-09,41.049999,41.520000,40.959999,41.255001,22.842464,11913800
2001-04-10,41.750000,42.244999,41.500000,42.000000,23.254959,12221600
2001-04-11,41.525002,41.599998,40.799999,40.970001,22.684650,14246800
2001-04-12,40.974998,41.430000,40.755001,41.000000,22.701267,10998400
2001-04-16,41.060001,42.290001,41.060001,42.275002,23.407225,11912600
2001-04-17,41.750000,42.395000,41.750000,42.355000,23.451521,14030600
2001-04-18,42.349998,42.705002,41.855000,42.564999,23.567799,16537800
2001-04-19,42.275002,42.599998,41.845001,42.224998,23.379547,13994000
2001-04-20,42.150002,42.695000,42.150002,42.584999,23.578867,12165800
2001-04-23,42.974998,44.014999,42.950001,44.000000,24.362345,16205800
2001-04-24,44.000000,44.500000,43.599998,43.744999,24.221148,14400800
2001-04-25,44.000000,44.915001,43.849998,44.544998,24.664095,15461200
2001-04-26,44.650002,44.775002,44.275002,44.424999,24.597645,13923000
2001-04-27,44.549999,44.630001,44.099998,44.529999,24.655800,9939800
2001-04-30,44.450001,44.939999,44.275002,44.299999,24.528437,15066600
2001-05-01,44.400002,44.520000,44.075001,44.400002,24.583820,9711600
2001-05-02,43.825001,43.830002,43.130001,43.250000,23.947069,16951600
2001-05-03,43.250000,43.400002,42.724998,43.049999,23.836336,13183800
2001-05-04,43.055000,43.895000,43.055000,43.775002,24.237759,9690000
2001-05-07,43.775002,44.410000,43.625000,44.095001,24.414946,10081400
2001-05-08,44.049999,44.575001,43.799999,44.369999,24.567204,11055000
2001-05-09,44.549999,44.875000,44.445000,44.860001,24.838509,10886200
2001-05-10,44.650002,44.689999,44.014999,44.049999,24.510227,10117200
2001-05-11,44.049999,44.049999,43.325001,43.820000,24.382259,8956400
2001-05-14,44.099998,44.720001,44.049999,44.529999,24.777315,9779400
2001-05-15,44.529999,44.770000,44.325001,44.724998,24.885817,9016800
2001-05-16,44.724998,45.000000,44.520000,44.750000,24.899719,16337000
2001-05-17,44.575001,44.580002,44.134998,44.365002,24.685497,11597600
2001-05-18,44.474998,45.125000,44.400002,45.099998,25.094467,14289200
2001-05-21,45.224998,45.325001,44.360001,44.375000,24.691057,12277800
2001-05-22,44.400002,44.509998,44.240002,44.404999,24.707756,11800600
2001-05-23,44.404999,44.404999,43.490002,43.634998,24.279310,12371000
2001-05-24,43.924999,44.080002,43.650002,43.965000,24.462925,8676800
2001-05-25,43.865002,44.340000,43.855000,44.049999,24.510227,9276600
2001-05-29,44.450001,44.610001,43.900002,43.900002,24.426756,12247200
2001-05-30,44.200001,45.000000,43.994999,44.435001,24.724447,16315800
2001-05-31,44.150002,44.669998,44.150002,44.375000,24.691057,11855800
2001-06-01,44.500000,44.549999,44.084999,44.474998,24.746698,7832400
2001-06-04,44.900002,45.424999,44.855000,45.415001,25.269735,9830600
2001-06-05,45.415001,45.834999,44.915001,45.775002,25.470060,12484800
2001-06-06,45.275002,45.375000,44.610001,44.700001,24.871887,15883600
2001-06-07,44.825001,44.990002,44.474998,44.590000,24.810690,12797600
2001-06-08,44.500000,44.759998,44.195000,44.695000,24.869112,8796400
2001-06-11,44.750000,45.250000,44.650002,44.849998,24.955351,10153000
2001-06-12,45.240002,45.240002,44.705002,45.060001,25.072206,10999400
2001-06-13,45.185001,45.360001,44.750000,44.990002,25.033260,8818600
2001-06-14,44.500000,44.900002,44.275002,44.424999,24.718880,9028000
2001-06-15,44.400002,45.139999,44.375000,44.450001,24.732792,22961200
